"Cell line","Culture","Pool","Dose","Vehicle","log2-fold change","Viability"
"SF295_CENTRAL_NERVOUS_SYSTEM","PR500","P101","0.5556","DMSO","-0.541","0.687"
"CAL12T_LUNG","PR500","P101","0.5556","DMSO","-0.539","0.688"
"HT55_LARGE_INTESTINE","PR500","P113","0.5556","DMSO","-0.537","0.689"
"SKNBE2_AUTONOMIC_GANGLIA","PR500","P106","1.667","DMSO","-0.535","0.69"
"UMUC1_URINARY_TRACT","PR500","P119","0.5556","DMSO","-0.535","0.69"
"253JBV_URINARY_TRACT","PR500","P104","0.5556","DMSO","-0.533","0.691"
"TE5_OESOPHAGUS","PR500","P112","0.5556","DMSO","-0.533","0.691"
"A375_SKIN","PR500","P102","1.667","DMSO","-0.531","0.692"
"HCC95_LUNG","PR500","P112","0.5556","DMSO","-0.532","0.692"
"SKHEP1_LIVER","PR500","P108","0.5556","DMSO","-0.528","0.693"
"MKN74_STOMACH","PR500","P106","0.5556","DMSO","-0.528","0.694"
"HUH6_LIVER","PR500","P114","1.667","DMSO","-0.527","0.694"
"KNS62_LUNG","PR500","P109","1.667","DMSO","-0.526","0.694"
"SW1990_PANCREAS","PR500","P115","0.5556","DMSO","-0.524","0.696"
"IGROV1_OVARY","PR500","P104","0.5556","DMSO","-0.523","0.696"
"IPC298_SKIN","PR500","P118","0.5556","DMSO","-0.522","0.696"
"RCC10RGB_KIDNEY","PR500","P119","15","DMSO","-0.523","0.696"
"WM983B_SKIN","PR500","P116","0.5556","DMSO","-0.521","0.697"
"KNS42_CENTRAL_NERVOUS_SYSTEM","PR500","P117","1.667","DMSO","-0.519","0.698"
"COLO800_SKIN","PR500","P117","0.5556","DMSO","-0.514","0.7"
"PANC0327_PANCREAS","PR500","P120","15","DMSO","-0.514","0.7"
"SNU840_OVARY","PR500","P107","0.5556","DMSO","-0.512","0.701"
"SNU685_ENDOMETRIUM","PR500","P103","1.667","DMSO","-0.512","0.701"
"BEN_LUNG","PR500","P106","0.5556","DMSO","-0.51","0.702"
"SF539_CENTRAL_NERVOUS_SYSTEM","PR500","P105","0.5556","DMSO","-0.511","0.702"
"RERFLCAI_LUNG","PR500","P113","0.5556","DMSO","-0.508","0.703"
"NCIH2444_LUNG","PR500","P120","1.667","DMSO","-0.508","0.703"
"L33_PANCREAS","PR500","P101","0.5556","DMSO","-0.506","0.704"
"CORL23_LUNG","PR500","P107","1.667","DMSO","-0.505","0.705"
"BXPC3_PANCREAS","PR500","P104","15","DMSO","-0.504","0.705"
"OC316_OVARY","PR500","P105","0.5556","DMSO","-0.505","0.705"
"PANC0403_PANCREAS","PR500","P117","0.5556","DMSO","-0.503","0.705"
"NCIH1437_LUNG","PR500","P107","1.667","DMSO","-0.502","0.706"
"HPAC_PANCREAS","PR500","P104","0.5556","DMSO","-0.503","0.706"
"CAL62_THYROID","PR500","P101","0.5556","DMSO","-0.501","0.706"
"CAL78_BONE","PR500","P120","0.5556","DMSO","-0.5","0.707"
"NCIH226_LUNG","PR500","P119","0.5556","DMSO","-0.5","0.707"
"COLO679_SKIN","PR500","P108","0.5556","DMSO","-0.495","0.709"
"RCM1_LARGE_INTESTINE","PR500","P119","0.5556","DMSO","-0.496","0.709"
"NCIH322_LUNG","PR500","P107","0.5556","DMSO","-0.494","0.71"
"LOVO_LARGE_INTESTINE","PR500","P109","1.667","DMSO","-0.495","0.71"
"CAMA1_BREAST","PR500","P113","5","DMSO","-0.494","0.71"
"HS944T_SKIN","PR500","P105","0.5556","DMSO","-0.492","0.711"
"H4_CENTRAL_NERVOUS_SYSTEM","PR500","P104","0.5556","DMSO","-0.49","0.712"
"PATU8988T_PANCREAS","PR500","P104","0.5556","DMSO","-0.489","0.712"
"LS180_LARGE_INTESTINE","PR500","P113","0.5556","DMSO","-0.49","0.712"
"PK59_PANCREAS","PR500","P114","0.5556","DMSO","-0.488","0.713"
"HEC151_ENDOMETRIUM","PR500","P113","1.667","DMSO","-0.487","0.713"
"JHH4_LIVER","PR500","P108","45","DMSO","-0.486","0.714"
"SNU1041_UPPER_AERODIGESTIVE_TRACT","PR500","P118","0.5556","DMSO","-0.486","0.714"
"NCIH2126_LUNG","PR500","P118","0.5556","DMSO","-0.483","0.715"
"TOV21G_OVARY","PR500","P114","0.5556","DMSO","-0.481","0.716"
"LS513_LARGE_INTESTINE","PR500","P103","0.5556","DMSO","-0.481","0.717"
"SKNBE2_AUTONOMIC_GANGLIA","PR500","P106","0.5556","DMSO","-0.48","0.717"
"NCIH23_LUNG","PR500","P117","0.5556","DMSO","-0.48","0.717"
"COLO741_SKIN","PR500","P116","15","DMSO","-0.48","0.717"
"AGS_STOMACH","PR500","P101","0.5556","DMSO","-0.478","0.718"
"HT1080_SOFT_TISSUE","PR500","P102","0.5556","DMSO","-0.475","0.72"
"U118MG_CENTRAL_NERVOUS_SYSTEM","PR500","P120","45","DMSO","-0.472","0.721"
"TOV21G_OVARY","PR500","P114","15","DMSO","-0.47","0.722"
"NCIH1651_LUNG","PR500","P109","0.5556","DMSO","-0.469","0.722"
"COLO800_SKIN","PR500","P117","45","DMSO","-0.469","0.722"
"SNU245_BILIARY_TRACT","PR500","P106","45","DMSO","-0.467","0.723"
"NCIH1838_LUNG","PR500","P106","0.5556","DMSO","-0.465","0.724"
"KYSE520_OESOPHAGUS","PR500","P115","1.667","DMSO","-0.465","0.724"
"UACC62_SKIN","PR500","P120","0.5556","DMSO","-0.466","0.724"
"SKMEL2_SKIN","PR500","P119","1.667","DMSO","-0.466","0.724"
"NCIH1355_LUNG","PR500","P110","0.5556","DMSO","-0.465","0.725"
"OSRC2_KIDNEY","PR500","P117","0.5556","DMSO","-0.461","0.726"
"SW1990_PANCREAS","PR500","P115","1.667","DMSO","-0.461","0.727"
"OC314_OVARY","PR500","P109","1.667","DMSO","-0.46","0.727"
"G361_SKIN","PR500","P101","45","DMSO","-0.46","0.727"
"A375_SKIN","PR500","P102","0.5556","DMSO","-0.458","0.728"
"HUPT3_PANCREAS","PR500","P117","0.5556","DMSO","-0.456","0.729"
"OVTOKO_OVARY","PR500","P114","0.5556","DMSO","-0.455","0.73"
"U118MG_CENTRAL_NERVOUS_SYSTEM","PR500","P120","0.5556","DMSO","-0.455","0.73"
"WM793_SKIN","PR500","P118","0.5556","DMSO","-0.453","0.731"
"CAL78_BONE","PR500","P120","1.667","DMSO","-0.452","0.731"
"NCIH446_LUNG","PR500","P117","0.5556","DMSO","-0.45","0.732"
"SW1710_URINARY_TRACT","PR500","P103","1.667","DMSO","-0.448","0.733"
"LN18_CENTRAL_NERVOUS_SYSTEM","PR500","P112","1.667","DMSO","-0.448","0.733"
"ESS1_ENDOMETRIUM","PR500","P105","5","DMSO","-0.448","0.733"
"PLCPRF5_LIVER","PR500","P108","1.667","DMSO","-0.446","0.734"
"JHOS2_OVARY","PR500","P114","0.5556","DMSO","-0.445","0.734"
"SNU213_PANCREAS","PR500","P105","0.5556","DMSO","-0.446","0.734"
"TOV21G_OVARY","PR500","P114","45","DMSO","-0.445","0.735"
"NCIH2087_LUNG","PR500","P115","0.5556","DMSO","-0.444","0.735"
"HCC15_LUNG","PR500","P110","0.5556","DMSO","-0.443","0.735"
"CFPAC1_PANCREAS","PR500","P110","0.5556","DMSO","-0.442","0.736"
"KP4_PANCREAS","PR500","P101","0.5556","DMSO","-0.442","0.736"
"LS1034_LARGE_INTESTINE","PR500","P119","0.5556","DMSO","-0.439","0.738"
"DAOY_CENTRAL_NERVOUS_SYSTEM","PR500","P102","0.5556","DMSO","-0.434","0.74"
"IGR1_SKIN","PR500","P102","1.667","DMSO","-0.435","0.74"
"SH10TC_STOMACH","PR500","P119","0.5556","DMSO","-0.432","0.741"
"YH13_CENTRAL_NERVOUS_SYSTEM","PR500","P108","5","DMSO","-0.431","0.742"
"KYSE270_OESOPHAGUS","PR500","P105","0.5556","DMSO","-0.43","0.742"
"OC314_OVARY","PR500","P109","0.5556","DMSO","-0.431","0.742"
"BT549_BREAST","PR500","P119","5","DMSO","-0.43","0.742"
"RL952_ENDOMETRIUM","PR500","P103","0.5556","DMSO","-0.429","0.743"
"WM88_SKIN","PR500","P117","0.5556","DMSO","-0.43","0.743"
"SNU1214_UPPER_AERODIGESTIVE_TRACT","PR500","P120","0.5556","DMSO","-0.428","0.743"
"RKO_LARGE_INTESTINE","PR500","P101","1.667","DMSO","-0.428","0.743"
"RVH421_SKIN","PR500","P114","45","DMSO","-0.426","0.744"
"CHL1_SKIN","PR500","P104","0.5556","DMSO","-0.426","0.744"
"OUMS23_LARGE_INTESTINE","PR500","P113","1.667","DMSO","-0.426","0.744"
"CORL23_LUNG","PR500","P107","0.5556","DMSO","-0.424","0.745"
"NCIH650_LUNG","PR500","P117","0.5556","DMSO","-0.425","0.745"
"769P_KIDNEY","PR500","P118","0.5556","DMSO","-0.424","0.746"
"DV90_LUNG","PR500","P111","1.667","DMSO","-0.422","0.747"
"ONS76_CENTRAL_NERVOUS_SYSTEM","PR500","P104","0.5556","DMSO","-0.419","0.748"
"SNU449_LIVER","PR500","P113","0.5556","DMSO","-0.418","0.748"
"CAKI1_KIDNEY","PR500","P103","0.5556","DMSO","-0.414","0.75"
"RVH421_SKIN","PR500","P114","1.667","DMSO","-0.415","0.75"
"SW1573_LUNG","PR500","P103","0.5556","DMSO","-0.413","0.751"
"SKLU1_LUNG","PR500","P106","15","DMSO","-0.413","0.751"
"MDAMB468_BREAST","PR500","P112","0.5556","DMSO","-0.412","0.751"
"RH30_SOFT_TISSUE","PR500","P105","0.5556","DMSO","-0.414","0.751"
"SNUC4_LARGE_INTESTINE","PR500","P114","0.5556","DMSO","-0.411","0.752"
"BFTC905_URINARY_TRACT","PR500","P109","0.5556","DMSO","-0.411","0.752"
"SNU1105_CENTRAL_NERVOUS_SYSTEM","PR500","P116","15","DMSO","-0.41","0.752"
"PECAPJ15_UPPER_AERODIGESTIVE_TRACT","PR500","P103","0.5556","DMSO","-0.409","0.753"
"HCC4006_LUNG","PR500","P106","1.667","DMSO","-0.41","0.753"
"TCCSUP_URINARY_TRACT","PR500","P114","0.5556","DMSO","-0.408","0.753"
"LMSU_STOMACH","PR500","P114","0.5556","DMSO","-0.41","0.753"
"HCC95_LUNG","PR500","P112","1.667","DMSO","-0.41","0.753"
"A549_LUNG","PR500","P107","0.5556","DMSO","-0.409","0.753"
"NCIH2172_LUNG","PR500","P108","0.5556","DMSO","-0.407","0.754"
"YD38_UPPER_AERODIGESTIVE_TRACT","PR500","P102","0.5556","DMSO","-0.408","0.754"
"BFTC909_KIDNEY","PR500","P102","0.5556","DMSO","-0.407","0.754"
"HPAC_PANCREAS","PR500","P104","15","DMSO","-0.408","0.754"
"RT112_URINARY_TRACT","PR500","P112","0.5556","DMSO","-0.407","0.754"
"GCIY_STOMACH","PR500","P105","0.5556","DMSO","-0.407","0.754"
"HEC1B_ENDOMETRIUM","PR500","P103","0.5556","DMSO","-0.403","0.756"
"PSN1_PANCREAS","PR500","P105","0.5556","DMSO","-0.404","0.756"
"SNU1079_BILIARY_TRACT","PR500","P119","15","DMSO","-0.403","0.756"
"BHT101_THYROID","PR500","P103","0.5556","DMSO","-0.402","0.757"
"CALU6_LUNG","PR500","P113","0.5556","DMSO","-0.402","0.757"
"CJM_SKIN","PR500","P109","45","DMSO","-0.402","0.757"
"VMRCRCZ_KIDNEY","PR500","P114","0.5556","DMSO","-0.4","0.758"
"HT29_LARGE_INTESTINE","PR500","P104","0.5556","DMSO","-0.4","0.758"
"NCIH1703_LUNG","PR500","P111","0.5556","DMSO","-0.399","0.758"
"TEN_ENDOMETRIUM","PR500","P119","0.5556","DMSO","-0.398","0.759"
"YAPC_PANCREAS","PR500","P108","0.5556","DMSO","-0.396","0.76"
"HEC6_ENDOMETRIUM","PR500","P118","0.5556","DMSO","-0.397","0.76"
"JHUEM2_ENDOMETRIUM","PR500","P106","15","DMSO","-0.393","0.761"
"JHOM1_OVARY","PR500","P116","0.5556","DMSO","-0.393","0.761"
"HCC78_LUNG","PR500","P109","15","DMSO","-0.395","0.761"
"GCT_SOFT_TISSUE","PR500","P112","1.667","DMSO","-0.395","0.761"
"NCIH2228_LUNG","PR500","P120","0.5556","DMSO","-0.394","0.761"
"TE14_OESOPHAGUS","PR500","P118","1.667","DMSO","-0.393","0.761"
"SCABER_URINARY_TRACT","PR500","P108","1.667","DMSO","-0.392","0.762"
"YD38_UPPER_AERODIGESTIVE_TRACT","PR500","P102","1.667","DMSO","-0.393","0.762"
"HCC4006_LUNG","PR500","P106","0.5556","DMSO","-0.392","0.762"
"KMRC3_KIDNEY","PR500","P115","1.667","DMSO","-0.392","0.762"
"RCC10RGB_KIDNEY","PR500","P119","0.5556","DMSO","-0.393","0.762"
"KELLY_AUTONOMIC_GANGLIA","PR500","P103","45","DMSO","-0.391","0.763"
"KYSE180_OESOPHAGUS","PR500","P106","1.667","DMSO","-0.39","0.763"
"TCCSUP_URINARY_TRACT","PR500","P114","15","DMSO","-0.39","0.763"
"NCIH1048_LUNG","PR500","P115","15","DMSO","-0.391","0.763"
"KNS60_CENTRAL_NERVOUS_SYSTEM","PR500","P112","0.5556","DMSO","-0.391","0.763"
"SBC5_LUNG","PR500","P102","0.5556","DMSO","-0.388","0.764"
"DETROIT562_UPPER_AERODIGESTIVE_TRACT","PR500","P116","0.5556","DMSO","-0.389","0.764"
"U251MG_CENTRAL_NERVOUS_SYSTEM","PR500","P111","0.5556","DMSO","-0.388","0.764"
"QGP1_PANCREAS","PR500","P103","1.667","DMSO","-0.387","0.765"
"HCC1806_BREAST","PR500","P115","0.5556","DMSO","-0.387","0.765"
"HCC1438_LUNG","PR500","P109","0.5556","DMSO","-0.386","0.765"
"SKUT1_SOFT_TISSUE","PR500","P108","15","DMSO","-0.385","0.766"
"SNU1066_UPPER_AERODIGESTIVE_TRACT","PR500","P105","0.5556","DMSO","-0.384","0.766"
"RT4_URINARY_TRACT","PR500","P113","0.5556","DMSO","-0.384","0.766"
"KNS42_CENTRAL_NERVOUS_SYSTEM","PR500","P117","0.5556","DMSO","-0.385","0.766"
"MDAMB435S_SKIN","PR500","P110","0.5556","DMSO","-0.384","0.766"
"SNB75_CENTRAL_NERVOUS_SYSTEM","PR500","P110","1.667","DMSO","-0.385","0.766"
"NCIH1563_LUNG","PR500","P106","0.5556","DMSO","-0.382","0.767"
"KMRC20_KIDNEY","PR500","P110","0.5556","DMSO","-0.383","0.767"
"WM1799_SKIN","PR500","P111","15","DMSO","-0.382","0.767"
"SNU601_STOMACH","PR500","P111","0.5556","DMSO","-0.382","0.767"
"COLO792_SKIN","PR500","P115","5","DMSO","-0.38","0.768"
"NCIH1568_LUNG","PR500","P115","1.667","DMSO","-0.38","0.768"
"CAL120_BREAST","PR500","P110","0.5556","DMSO","-0.381","0.768"
"LOUNH91_LUNG","PR500","P112","0.5556","DMSO","-0.381","0.768"
"NCIH2110_LUNG","PR500","P117","0.5556","DMSO","-0.381","0.768"
"LK2_LUNG","PR500","P116","0.5556","DMSO","-0.378","0.769"
"T98G_CENTRAL_NERVOUS_SYSTEM","PR500","P109","0.5556","DMSO","-0.379","0.769"
"OE21_OESOPHAGUS","PR500","P118","0.5556","DMSO","-0.38","0.769"
"WM1799_SKIN","PR500","P111","0.5556","DMSO","-0.38","0.769"
"OVISE_OVARY","PR500","P116","0.5556","DMSO","-0.379","0.769"
"SNU668_STOMACH","PR500","P112","15","DMSO","-0.377","0.77"
"SCABER_URINARY_TRACT","PR500","P108","0.5556","DMSO","-0.375","0.771"
"SKMEL5_SKIN","PR500","P120","0.5556","DMSO","-0.375","0.771"
"NCIH1623_LUNG","PR500","P120","15","DMSO","-0.375","0.771"
"NCIH1650_LUNG","PR500","P112","1.667","DMSO","-0.374","0.771"
"SW900_LUNG","PR500","P119","0.5556","DMSO","-0.375","0.771"
"MKN1_STOMACH","PR500","P106","0.5556","DMSO","-0.373","0.772"
"SNU423_LIVER","PR500","P115","0.5556","DMSO","-0.371","0.773"
"CAMA1_BREAST","PR500","P113","0.5556","DMSO","-0.371","0.773"
"CAPAN2_PANCREAS","PR500","P120","0.5556","DMSO","-0.372","0.773"
"MHHES1_BONE","PR500","P111","45","DMSO","-0.372","0.773"
"JHH1_LIVER","PR500","P111","0.5556","DMSO","-0.371","0.773"
"HT55_LARGE_INTESTINE","PR500","P113","1.667","DMSO","-0.369","0.774"
"LUDLU1_LUNG","PR500","P106","0.5556","DMSO","-0.368","0.775"
"SNU398_LIVER","PR500","P109","1.667","DMSO","-0.368","0.775"
"CADOES1_BONE","PR500","P103","15","DMSO","-0.366","0.776"
"NCIH2009_LUNG","PR500","P110","45","DMSO","-0.365","0.776"
"HS294T_SKIN","PR500","P110","0.5556","DMSO","-0.363","0.777"
"KP3_PANCREAS","PR500","P108","0.5556","DMSO","-0.361","0.778"
"SW1710_URINARY_TRACT","PR500","P103","0.5556","DMSO","-0.363","0.778"
"GI1_CENTRAL_NERVOUS_SYSTEM","PR500","P111","0.5556","DMSO","-0.362","0.778"
"8MGBA_CENTRAL_NERVOUS_SYSTEM","PR500","P105","15","DMSO","-0.363","0.778"
"COLO680N_OESOPHAGUS","PR500","P119","0.5556","DMSO","-0.362","0.778"
"HGC27_STOMACH","PR500","P101","0.5556","DMSO","-0.362","0.778"
"NCIH2009_LUNG","PR500","P110","0.5556","DMSO","-0.361","0.779"
"RERFLCAD2_LUNG","PR500","P109","1.667","DMSO","-0.358","0.78"
"TE11_OESOPHAGUS","PR500","P105","1.667","DMSO","-0.358","0.78"
"LU99_LUNG","PR500","P107","0.5556","DMSO","-0.358","0.78"
"NCIH1838_LUNG","PR500","P106","15","DMSO","-0.356","0.781"
"OVCAR8_OVARY","PR500","P112","1.667","DMSO","-0.357","0.781"
"SKMEL5_SKIN","PR500","P120","1.667","DMSO","-0.357","0.781"
"NCIH2009_LUNG","PR500","P110","15","DMSO","-0.356","0.781"
"RERFLCAI_LUNG","PR500","P113","1.667","DMSO","-0.354","0.782"
"BICR56_UPPER_AERODIGESTIVE_TRACT","PR500","P117","0.5556","DMSO","-0.354","0.782"
"MCF7_BREAST","PR500","P116","0.5556","DMSO","-0.355","0.782"
"647V_URINARY_TRACT","PR500","P101","0.5556","DMSO","-0.354","0.782"
"SNU886_LIVER","PR500","P103","0.5556","DMSO","-0.353","0.783"
"GOS3_CENTRAL_NERVOUS_SYSTEM","PR500","P114","0.5556","DMSO","-0.354","0.783"
"HSC3_UPPER_AERODIGESTIVE_TRACT","PR500","P112","0.5556","DMSO","-0.354","0.783"
"NCIH226_LUNG","PR500","P119","1.667","DMSO","-0.351","0.784"
"NCIH838_LUNG","PR500","P104","0.5556","DMSO","-0.349","0.785"
"HEC6_ENDOMETRIUM","PR500","P118","1.667","DMSO","-0.349","0.785"
"SNU1214_UPPER_AERODIGESTIVE_TRACT","PR500","P120","1.667","DMSO","-0.348","0.786"
"NCIH1792_LUNG","PR500","P115","15","DMSO","-0.346","0.787"
"SH10TC_STOMACH","PR500","P119","15","DMSO","-0.345","0.787"
"A2780_OVARY","PR500","P101","0.5556","DMSO","-0.346","0.787"
"AN3CA_ENDOMETRIUM","PR500","P108","45","DMSO","-0.344","0.788"
"LI7_LIVER","PR500","P102","1.667","DMSO","-0.344","0.788"
"SNUC2A_LARGE_INTESTINE","PR500","P107","1.667","DMSO","-0.344","0.788"
"786O_KIDNEY","PR500","P104","0.5556","DMSO","-0.344","0.788"
"KYSE410_OESOPHAGUS","PR500","P111","0.5556","DMSO","-0.343","0.788"
"JIMT1_BREAST","PR500","P111","1.667","DMSO","-0.341","0.789"
"ES2_OVARY","PR500","P101","45","DMSO","-0.342","0.789"
"TT2609C02_THYROID","PR500","P103","0.5556","DMSO","-0.34","0.79"
"TOV21G_OVARY","PR500","P114","1.667","DMSO","-0.341","0.79"
"NCIH1944_LUNG","PR500","P115","0.5556","DMSO","-0.341","0.79"
"PANC0403_PANCREAS","PR500","P117","1.667","DMSO","-0.341","0.79"
"YKG1_CENTRAL_NERVOUS_SYSTEM","PR500","P108","0.5556","DMSO","-0.339","0.791"
"AN3CA_ENDOMETRIUM","PR500","P108","0.5556","DMSO","-0.338","0.791"
"NCIH522_LUNG","PR500","P114","0.5556","DMSO","-0.339","0.791"
"SNU423_LIVER","PR500","P115","1.667","DMSO","-0.338","0.791"
"CAL51_BREAST","PR500","P110","0.5556","DMSO","-0.338","0.791"
"LCLC103H_LUNG","PR500","P106","1.667","DMSO","-0.336","0.792"
"S117_THYROID","PR500","P110","0.5556","DMSO","-0.337","0.792"
"SNU1105_CENTRAL_NERVOUS_SYSTEM","PR500","P116","0.5556","DMSO","-0.337","0.792"
"BCPAP_THYROID","PR500","P116","1.667","DMSO","-0.335","0.793"
"CAL27_UPPER_AERODIGESTIVE_TRACT","PR500","P105","1.667","DMSO","-0.333","0.794"
"SKMES1_LUNG","PR500","P119","0.5556","DMSO","-0.333","0.794"
"TE10_OESOPHAGUS","PR500","P118","1.667","DMSO","-0.333","0.794"
"CAOV3_OVARY","PR500","P119","1.667","DMSO","-0.334","0.794"
"DBTRG05MG_CENTRAL_NERVOUS_SYSTEM","PR500","P106","15","DMSO","-0.33","0.795"
"SNU761_LIVER","PR500","P107","0.5556","DMSO","-0.33","0.795"
"MEWO_SKIN","PR500","P110","45","DMSO","-0.332","0.795"
"EBC1_LUNG","PR500","P113","0.5556","DMSO","-0.33","0.795"
"SKMEL3_SKIN","PR500","P119","0.5556","DMSO","-0.332","0.795"
"MFE296_ENDOMETRIUM","PR500","P105","0.5556","DMSO","-0.33","0.796"
"MFE319_ENDOMETRIUM","PR500","P118","0.5556","DMSO","-0.329","0.796"
"NCIH1650_LUNG","PR500","P112","0.5556","DMSO","-0.329","0.796"
"G292CLONEA141B1_BONE","PR500","P108","0.5556","DMSO","-0.327","0.797"
"DANG_PANCREAS","PR500","P114","0.5556","DMSO","-0.328","0.797"
